日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/03,新竹,CH4,1.9,1.9,2.1,2.1,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
2017/01/03,新竹,CO,0.33,0.28,0.31,0.35,0.22,0.2,0.23,0.28,0.31,0.27,0.27,0.28,0.3,0.26,0.26,0.29,0.31,0.4,0.43,0.45,0.45,0.47,0.39,0.29
2017/01/03,新竹,NMHC,0.17,0.13,0.19,0.23,0.17,0.1,0.07,0.08,0.09,0.1,0.09,0.13,0.14,0.1,0.11,0.12,0.13,0.19,0.19,0.2,0.17,0.23,0.17,0.12
2017/01/03,新竹,NO,0.9,1,1,1.3,1,0.8,0.9,1.1,1.6,2,2.6,2.3,2.9,2.2,1.7,1.6,1.5,1.2,1.3,1.3,1.2,1.2,1.1,0.8
2017/01/03,新竹,NO2,20,20,21,17,14,13,13,12,17,16,14,16,17,15,16,17,16,21,23,22,22,24,22,14
2017/01/03,新竹,NOx,21,21,22,18,15,13,14,14,18,18,17,18,20,18,18,19,17,22,24,23,23,26,23,15
2017/01/03,新竹,O3,19,17,11,5.7,13,15,25,29,27,30,32,32,32,34,34,32,32,25,24,22,22,18,19,28
2017/01/03,新竹,PM10,48,42,39,37,38,41,41,44,50,57,56,57,61,59,58,61,55,47,49,50,46,48,50,44
2017/01/03,新竹,PM2.5,25,18,17,20,20,17,13,13,12,12,17,21,22,18,18,20,19,18,20,21,19,19,21,20
2017/01/03,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/03,新竹,RH,80,79,81,82,83,82,84,84,83,79,76,75,74,73,73,74,74,75,75,77,77,78,78,78
2017/01/03,新竹,SO2,3.3,4,3.9,2.2,2.1,2.8,2.2,1.9,2.4,2.6,2,2.1,2.6,2.8,2.7,2.5,2.2,2.6,2.7,3,4,4.1,3.5,3
2017/01/03,新竹,THC,2.1,2,2.3,2.3,2.1,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2.1,2,2.1,2,2
